254,30,49,2015,1,EAD,80,307,3.8375,56.925,83
255,34,49,2015,1,MANHÃ,40,59,1.475,18.25,76
256,34,49,2015,1,NOITE,40,191,4.775,57.2,85.525
257,4,50,2015,1,MANHÃ,80,228,2.85,56.25,91.575
258,6,50,2015,1,MANHÃ,40,77,1.925,47.85,89.65
259,8,50,2015,1,NOITE,40,134,3.35,57.2,81.95
260,24,50,2015,1,NOITE,40,193,4.825,55.25,95.485
261,30,50,2015,1,EAD,80,178,2.225,51.25,92.095
262,37,50,2015,1,NOITE,40,190,4.75,57,78
263,37,50,2015,1,MANHÃ,40,94,2.35,51.75,79.75
264,39,50,2015,1,NOITE,40,227,5.675,61.585,82.75
265,58,50,2015,1,NOITE,40,196,4.9,62.75,96.25
266,4,51,2015,1,NOITE,40,347,8.675,69.5,93.225
267,4,51,2015,1,TARDE,40,107,2.675,56.1,91.025
268,19,51,2015,1,MANHÃ,40,157,3.925,62,93.5
269,23,51,2015,1,NOITE,40,162,4.05,57.5,80.85
270,23,51,2015,1,MANHÃ,40,93,2.325,50.85,83.05
271,27,51,2015,1,NOITE,40,349,8.725,61.6,94.6
272,7,52,2015,1,TARDE,40,116,2.9,53.11,76.993
273,7,52,2015,1,NOITE,40,554,13.85,65.45,87.575
274,20,52,2015,1,TARDE,40,59,1.475,29.098,83.325
275,20,52,2015,1,NOITE,40,267,6.675,58.195,78.925
276,48,52,2015,1,MANHÃ,40,74,1.85,39.05,88.705
277,48,52,2015,1,NOITE,40,175,4.375,51.5,73.7
278,62,52,2015,1,MANHÃ,40,113,2.825,43.505,75.35
279,62,52,2015,1,NOITE,40,264,6.6,55.653,72.603
280,4,53,2015,1,NOITE,80,1112,13.9,75.625,97.9
281,4,53,2015,1,TARDE,40,195,4.875,65.25,89.65
282,4,53,2015,1,MANHÃ,40,552,13.8,73.45,95.975
283,5,53,2015,1,MANHÃ,40,163,4.075,56,83.6
284,5,53,2015,1,NOITE,40,261,6.525,63.563,81.25
285,11,53,2015,1,MANHÃ,80,558,6.975,64.975,94.875
286,11,53,2015,1,NOITE,60,801,13.35,70.75,90.475
287,12,53,2015,1,NOITE,40,176,4.4,58.025,87.293
288,18,53,2015,1,NOITE,40,418,10.45,70.25,95.975
289,29,53,2015,1,TARDE,40,141,3.525,58.195,90.75
290,30,53,2015,1,EAD,40,377,9.425,67,86
291,33,53,2015,1,TARDE,40,68,1.7,37.08,80.025
